flex_pinky,flex_ring,flex_middle,flex_index,flex_thumb,touch_index,touch_middle,touch_ring,touch_pinky,touch_r,touch_u,ax,ay,az,gx,gy,gz,label,rep,session,day
1.0,1.0,0.9583333333333334,1.0,0.4434782608695652,1.0,1.0,1.0,1.0,1.0,0.0,0.554443359375,-0.0224609375,0.0546875,-0.011474609375,-0.0103759765625,-0.006988525390625,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,1.0,0.9676674364896074,0.5130434782608696,1.0,1.0,1.0,1.0,1.0,0.0,0.551025390625,-0.020751953125,0.0543212890625,-0.01177978515625,-0.011871337890625,-0.004364013671875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9647435897435898,0.9168591224018476,0.3652173913043478,1.0,1.0,1.0,1.0,1.0,0.0,0.5574951171875,-0.017822265625,0.0460205078125,-0.01263427734375,-0.0093994140625,-0.00067138671875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9487179487179488,1.0,0.4869565217391304,1.0,1.0,1.0,1.0,1.0,0.0,0.555419921875,-0.020751953125,0.053955078125,-0.013427734375,-0.00927734375,0.003753662109375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9631410256410255,0.9030023094688222,0.5304347826086957,1.0,1.0,1.0,1.0,1.0,0.0,0.556396484375,-0.028076171875,0.0540771484375,-0.017608642578125,-0.00689697265625,0.0048828125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9759615384615384,1.0,0.4521739130434782,1.0,1.0,1.0,1.0,1.0,0.0,0.553955078125,-0.029296875,0.056396484375,-0.015289306640625,-0.004486083984375,0.006622314453125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9519230769230768,0.8521939953810623,0.4608695652173913,1.0,1.0,1.0,1.0,1.0,0.0,0.557373046875,-0.034912109375,0.05908203125,-0.013519287109375,-0.00457763671875,0.007843017578125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9599358974358976,0.9815242494226328,0.3565217391304348,1.0,1.0,1.0,1.0,1.0,0.0,0.5579833984375,-0.0384521484375,0.058837890625,-0.0140380859375,-0.00799560546875,0.005950927734375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9871794871794872,0.930715935334873,0.408695652173913,1.0,1.0,1.0,1.0,1.0,0.0,0.5589599609375,-0.04052734375,0.064453125,-0.012969970703125,-0.01025390625,0.005218505859375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9871794871794872,0.9168591224018476,0.4,1.0,1.0,1.0,1.0,1.0,0.0,0.5623779296875,-0.04150390625,0.0634765625,-0.0167236328125,-0.01300048828125,0.00677490234375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9899053627760253,0.9599358974358976,0.9722863741339492,0.4608695652173913,1.0,1.0,1.0,1.0,1.0,0.0,0.5576171875,-0.0465087890625,0.05908203125,-0.01654052734375,-0.01544189453125,0.00457763671875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9903846153846154,0.9815242494226328,0.4869565217391304,1.0,1.0,1.0,1.0,1.0,0.0,0.558837890625,-0.04248046875,0.05810546875,-0.019683837890625,-0.009002685546875,0.00262451171875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.966346153846154,0.9353348729792148,0.3652173913043478,1.0,1.0,1.0,1.0,1.0,0.0,0.558837890625,-0.0399169921875,0.0556640625,-0.016082763671875,-0.0069580078125,0.001556396484375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9116719242902208,0.971153846153846,0.9722863741339492,0.5130434782608696,1.0,1.0,1.0,1.0,1.0,0.0,0.5621337890625,-0.0364990234375,0.060791015625,-0.01361083984375,-0.01007080078125,-0.000518798828125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9369085173501576,0.9791666666666666,0.976905311778291,0.5043478260869565,1.0,1.0,1.0,1.0,1.0,0.0,0.5592041015625,-0.0340576171875,0.0494384765625,-0.016265869140625,-0.011474609375,-0.001434326171875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9861198738170348,0.9599358974358976,0.9445727482678984,0.5304347826086957,1.0,1.0,1.0,1.0,1.0,0.0,0.55517578125,-0.0301513671875,0.0489501953125,-0.015594482421875,-0.00787353515625,-0.00152587890625,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9608832807570978,0.9743589743589745,0.9722863741339492,0.5391304347826087,1.0,1.0,1.0,1.0,1.0,0.0,0.5592041015625,-0.0267333984375,0.0513916015625,-0.015716552734375,-0.00775146484375,0.0023193359375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9533123028391168,0.9599358974358976,0.8891454965357968,0.3739130434782609,1.0,1.0,1.0,1.0,1.0,0.0,0.554931640625,-0.0242919921875,0.0543212890625,-0.0159912109375,-0.00543212890625,0.005126953125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9887820512820512,0.976905311778291,0.4521739130434782,1.0,1.0,1.0,1.0,1.0,0.0,0.556640625,-0.0294189453125,0.0543212890625,-0.015106201171875,-0.008453369140625,0.0079345703125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9759615384615384,0.9168591224018476,0.391304347826087,1.0,1.0,1.0,1.0,1.0,0.0,0.55419921875,-0.03564453125,0.0511474609375,-0.016937255859375,-0.007904052734375,0.006683349609375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9871794871794872,0.9214780600461894,0.3391304347826087,1.0,1.0,1.0,1.0,1.0,0.0,0.5596923828125,-0.03369140625,0.0517578125,-0.018310546875,-0.00732421875,0.006591796875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9735015772870662,0.9759615384615384,0.976905311778291,0.3826086956521739,1.0,1.0,1.0,1.0,1.0,0.0,0.5576171875,-0.03662109375,0.0494384765625,-0.016510009765625,-0.0057373046875,0.0064697265625,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9873817034700316,0.9439102564102564,0.9722863741339492,0.4260869565217391,1.0,1.0,1.0,1.0,1.0,0.0,0.5595703125,-0.03857421875,0.0540771484375,-0.016632080078125,-0.005889892578125,0.00494384765625,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9798107255520504,0.9599358974358976,0.8568129330254042,0.408695652173913,1.0,1.0,1.0,1.0,1.0,0.0,0.5606689453125,-0.0391845703125,0.0577392578125,-0.017059326171875,-0.00518798828125,0.003143310546875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9735015772870662,0.9599358974358976,0.9353348729792148,0.5130434782608696,1.0,1.0,1.0,1.0,1.0,0.0,0.5599365234375,-0.04150390625,0.0545654296875,-0.013824462890625,-0.00518798828125,0.00433349609375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9697160883280758,0.971153846153846,0.976905311778291,0.408695652173913,1.0,1.0,1.0,1.0,1.0,0.0,0.5587158203125,-0.0390625,0.057373046875,-0.01409912109375,-0.005615234375,0.00225830078125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9697160883280758,0.9631410256410255,1.0,0.4869565217391304,1.0,1.0,1.0,1.0,1.0,0.0,0.558837890625,-0.03857421875,0.05322265625,-0.014190673828125,-0.00634765625,0.00177001953125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9936908517350158,0.969551282051282,0.907621247113164,0.3826086956521739,1.0,1.0,1.0,1.0,1.0,0.0,0.5606689453125,-0.03515625,0.0595703125,-0.0133056640625,-0.010406494140625,0.00152587890625,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9615384615384616,0.930715935334873,0.3565217391304348,1.0,1.0,1.0,1.0,1.0,0.0,0.555908203125,-0.036865234375,0.0587158203125,-0.0150146484375,-0.006744384765625,0.0013427734375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9949526813880126,0.969551282051282,0.8706697459584296,0.5391304347826087,1.0,1.0,1.0,1.0,1.0,0.0,0.55615234375,-0.0352783203125,0.05517578125,-0.01348876953125,-0.00640869140625,0.001556396484375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9735015772870662,1.0,0.930715935334873,0.5130434782608696,1.0,1.0,1.0,1.0,1.0,0.0,0.55615234375,-0.0341796875,0.060302734375,-0.01446533203125,-0.009124755859375,0.001708984375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9735015772870662,0.9599358974358976,0.9907621247113164,0.4434782608695652,1.0,1.0,1.0,1.0,1.0,0.0,0.5550537109375,-0.034423828125,0.0614013671875,-0.011016845703125,-0.012969970703125,0.003997802734375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9709779179810726,0.9887820512820512,0.8937644341801386,0.5652173913043478,1.0,1.0,1.0,1.0,1.0,0.0,0.555908203125,-0.0308837890625,0.0614013671875,-0.009033203125,-0.011749267578125,0.003997802734375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9747634069400632,0.9439102564102564,1.0,0.5652173913043478,1.0,1.0,1.0,1.0,1.0,0.0,0.5567626953125,-0.03662109375,0.060302734375,-0.010040283203125,-0.00933837890625,0.003143310546875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.984858044164038,0.9823717948717948,0.907621247113164,0.5217391304347826,1.0,1.0,1.0,1.0,1.0,0.0,0.5615234375,-0.0364990234375,0.0548095703125,-0.01177978515625,-0.010498046875,0.00384521484375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9810725552050472,0.939102564102564,0.8429561200923787,0.4260869565217391,1.0,1.0,1.0,1.0,1.0,0.0,0.555908203125,-0.0341796875,0.0594482421875,-0.00982666015625,-0.013031005859375,0.00494384765625,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.984858044164038,0.9439102564102564,0.9122401847575058,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5543212890625,-0.0389404296875,0.0494384765625,-0.0157470703125,-0.00885009765625,0.001861572265625,A,0,2026-08-24_22-04-28,2026-08-24
