flex_pinky,flex_ring,flex_middle,flex_index,flex_thumb,touch_index,touch_middle,touch_ring,touch_pinky,touch_r,touch_u,ax,ay,az,gx,gy,gz,label,rep,session,day
0.083636364,0.018707483,0.058394161,0.069124424,0.805369128,1,1,1,1,1,0,0.551147461,0.01171875,-0.083862305,-0.016265869,-0.0027771,0.003326416,B,0,2026-08-22_23-06-48,22/08/2026
0,0.013605442,0.058394161,0.267281106,0.483221477,1,1,1,1,1,0,0.55065918,0.014892578,-0.086791992,-0.015167236,-0.006530762,0.004180908,B,0,2026-08-22_23-06-48,22/08/2026
0,0,0,0.179723502,0.33557047,1,1,1,1,1,0,0.553833008,0.020263672,-0.085083008,-0.00793457,-0.010437012,0.005554199,B,0,2026-08-22_23-06-48,22/08/2026
0.210909091,0.151360544,0.408759124,0.433179724,0.805369128,1,1,1,1,1,0,0.553955078,0.017944336,-0.085693359,-0.003326416,-0.010894775,0.005401611,B,0,2026-08-22_23-06-48,22/08/2026
0.358181818,0.011904762,0,0.211981567,0.44295302,1,1,1,1,1,0,0.552856445,0.020019531,-0.089355469,-0.003845215,-0.009552002,0.005340576,B,0,2026-08-22_23-06-48,22/08/2026
0,0.06122449,0.459854015,0.755760369,0.322147651,1,1,1,1,1,0,0.555419922,0.019287109,-0.088745117,-0.007751465,-0.012023926,0.006774902,B,0,2026-08-22_23-06-48,22/08/2026
0,0,0.295620438,0.797235023,0,1,1,1,1,1,0,0.552856445,0.012817383,-0.093139648,-0.012451172,-0.012176514,0.007354736,B,0,2026-08-22_23-06-48,22/08/2026
0,0.025510204,0.419708029,0.811059908,0,1,1,1,1,1,0,0.547607422,0.013549805,-0.08996582,-0.017211914,-0.011535645,0.005401611,B,0,2026-08-22_23-06-48,22/08/2026
0,0.071428571,0.587591241,0.677419355,0,1,1,1,1,1,0,0.552490234,0.012329102,-0.09387207,-0.013031006,-0.00894165,0.00402832,B,0,2026-08-22_23-06-48,22/08/2026
0.007272727,0.130952381,0.5,0.649769585,0.147651007,1,1,1,1,1,0,0.552856445,0.016113281,-0.090087891,-0.006469727,-0.007781982,0.003845215,B,0,2026-08-22_23-06-48,22/08/2026
0,0,0,0.603686636,0,1,1,1,1,1,0,0.555297852,0.010375977,-0.091308594,-0.003814697,-0.006195068,0.002990723,B,0,2026-08-22_23-06-48,22/08/2026
0.069090909,0.079931973,0.350364964,0.161290323,1,1,1,1,1,1,0,0.555908203,0.009643555,-0.092651367,-0.011138916,-0.007598877,0.000946045,B,0,2026-08-22_23-06-48,22/08/2026
0.130909091,0.040816327,0,0,1,1,1,1,1,1,0,0.55065918,0.01550293,-0.092163086,-0.011871338,-0.009490967,0.002716064,B,0,2026-08-22_23-06-48,22/08/2026
0.012727273,0,0,0.073732719,1,1,1,1,1,1,0,0.550048828,0.014526367,-0.0859375,-0.015045166,-0.009094238,0.003540039,B,0,2026-08-22_23-06-48,22/08/2026
0.025454545,0,0,0.147465438,1,1,1,1,1,1,0,0.55065918,0.016845703,-0.091674805,-0.015899658,-0.010253906,0.003295898,B,0,2026-08-22_23-06-48,22/08/2026
0.183636364,0,0,0,1,1,1,1,1,1,0,0.547729492,0.018920898,-0.090698242,-0.008911133,-0.007629395,0.004180908,B,0,2026-08-22_23-06-48,22/08/2026
