Class,Total Samples,Overall Percentage,Training Samples,Training Percentage,Testing Samples,Testing Percentage
A,800,4.545454545454546,600,5.454545454545454,200,3.0303030303030303
B,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
C,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
D,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
E,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
F,800,4.545454545454546,600,5.454545454545454,200,3.0303030303030303
G,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
H,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
I,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
J,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
K,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
L,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
M,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
N,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
O,800,4.545454545454546,600,5.454545454545454,200,3.0303030303030303
P,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
Q,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
R,1200,6.8181818181818175,400,3.6363636363636362,800,12.121212121212121
S,800,4.545454545454546,400,3.6363636363636362,400,6.0606060606060606
T,800,4.545454545454546,400,3.6363636363636362,400,6.0606060606060606
U,800,4.545454545454546,400,3.6363636363636362,400,6.0606060606060606
V,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
W,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
X,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
Y,600,3.4090909090909087,400,3.6363636363636362,200,3.0303030303030303
Z,800,4.545454545454546,400,3.6363636363636362,400,6.0606060606060606
