Label,Mode,FlexPinky,FlexRing,FlexMiddle,FlexIndex,FlexThumb,TouchIndex,TouchMiddle,TouchRing,TouchPinky,TouchR,TouchU,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
A,1,363,511,413,187,2550,1,1,1,1,1,0,17944,-2364,-3112,-154,-973,487
A,1,366,507,396,193,2545,1,1,1,1,1,0,18252,-2340,-2732,-260,-264,609
A,1,357,525,394,190,2543,1,1,1,1,1,0,18280,-2336,-2156,-323,-208,379
A,1,359,509,403,198,2544,1,1,1,1,1,0,18116,-2392,-1816,-462,-496,168
A,1,375,508,401,188,2545,1,1,1,1,1,0,18012,-2368,-2204,-469,-699,69
A,1,368,511,404,190,2547,1,1,1,1,1,0,18100,-2340,-2556,-344,-1064,206
A,1,377,509,389,189,2545,1,1,1,1,1,0,18344,-2520,-2688,-582,-972,186
A,1,374,501,406,189,2550,1,1,1,1,1,0,18096,-2516,-3280,-708,-385,122
A,1,368,508,395,196,2549,1,1,1,1,1,0,17876,-2760,-2968,-661,-109,-92
A,1,368,511,414,194,2547,1,1,1,1,1,0,17876,-2628,-2192,-804,-561,-240
A,1,381,511,395,192,2546,1,1,1,1,1,0,17924,-2280,-2680,-734,-382,-424
A,1,373,511,403,191,2550,1,1,1,1,1,0,17936,-2264,-2864,-779,-614,-400
A,1,378,511,406,188,2549,1,1,1,1,1,0,18064,-1988,-2704,-768,-391,-293
A,1,369,509,405,192,2546,1,1,1,1,1,0,18120,-2168,-2384,-571,-317,-206
A,1,363,525,394,188,2544,1,1,1,1,1,0,17948,-2184,-2360,-297,-914,-117
A,1,384,502,411,185,2546,1,1,1,1,1,0,17940,-2140,-2780,-220,-1278,-586
A,1,372,506,400,186,2544,1,1,1,1,1,0,18028,-1624,-3228,-634,-1130,-271
A,1,384,503,400,192,2544,1,1,1,1,1,0,17872,-1896,-3820,-616,-433,2
A,1,369,511,391,192,2549,1,1,1,1,1,0,17992,-1884,-3256,-885,-81,-130
A,1,322,535,384,184,2545,1,1,1,1,1,0,18088,-1596,-3004,-773,-195,-65
A,1,371,507,400,199,2544,1,1,1,1,1,0,18120,-1704,-3064,-939,-334,-184
A,1,371,511,400,189,2545,1,1,1,1,1,0,18112,-1380,-3056,-328,-753,-52
A,1,375,505,416,183,2541,1,1,1,1,1,0,18176,-2840,-2724,1829,-1921,-341
A,1,367,511,401,197,2543,1,1,1,1,1,0,18404,-2064,-2968,-1583,-1812,-1700
A,1,368,507,423,175,2549,1,1,1,1,1,0,18308,-1280,-3140,-159,-2142,-1678
A,1,387,525,418,181,2546,1,1,1,1,1,0,17960,-1820,-3052,-1277,-2048,-1842
A,1,368,506,400,187,2544,1,1,1,1,1,0,17832,-1392,-2924,-277,-1927,-1492
A,1,375,509,399,190,2546,1,1,1,1,1,0,17924,-1400,-3812,-641,-2042,-1578
A,1,368,509,416,189,2553,1,1,1,1,1,0,17540,-552,-5028,-608,-1452,-1517
A,1,363,528,390,202,2538,1,1,1,1,1,0,17024,724,-4980,-1087,-444,-560
A,1,542,816,528,268,2549,1,1,1,1,1,0,-10240,136,-11336,-125,420,379
A,1,529,821,528,259,2545,1,1,1,1,1,0,-10644,92,-12448,806,1990,691
A,1,560,819,528,261,2535,1,1,1,1,1,0,-11408,644,-13988,1071,2753,1217
A,1,546,826,511,272,2544,1,1,1,1,1,0,-11112,520,-15092,609,5233,2358
A,1,564,839,529,258,2536,1,1,1,1,1,0,-15116,1304,-21208,1684,7389,4519
