Label,Mode,FlexPinky,FlexRing,FlexMiddle,FlexIndex,FlexThumb,TouchIndex,TouchMiddle,TouchRing,TouchPinky,TouchR,TouchU,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
H,1,410,687,1296,511,2597,1,1,1,1,1,0,2620,-13624,-8500,-1563,-497,362
H,1,387,697,1270,501,2207,1,1,1,1,1,0,2836,-13344,-8308,-785,-636,55
H,1,239,847,1248,497,2559,1,1,1,1,1,0,2704,-13412,-8476,-559,-164,74
H,1,310,599,1306,560,2580,1,1,1,1,1,0,2660,-13560,-8576,-259,-209,154
H,1,231,703,1301,443,2615,1,1,1,1,1,0,2556,-13772,-8536,-315,-249,388
H,1,434,688,1235,490,2619,1,1,1,1,1,0,2628,-14048,-8692,-317,-142,356
H,1,411,685,1264,586,2589,1,1,1,1,1,0,2408,-14076,-8492,-90,-566,324
H,1,387,681,1200,544,2559,1,1,1,1,1,0,2364,-14424,-8844,-526,-180,148
H,1,304,722,1282,464,2593,1,1,1,1,1,0,2488,-14116,-8768,-801,-26,-54
H,1,369,677,1293,505,2551,1,1,1,1,1,0,2668,-13932,-8664,-747,-341,90
H,1,421,709,1269,508,2608,1,1,1,1,1,0,2552,-13992,-8552,-961,-371,171
H,1,422,692,1277,463,2559,1,1,1,1,1,0,2516,-13924,-8700,-693,-176,-58
H,1,333,734,1171,509,2587,1,1,1,1,1,0,2508,-13784,-8728,-372,-311,-175
H,1,405,541,1280,634,2592,1,1,1,1,1,0,2720,-13928,-8868,-759,134,-10
H,1,400,726,1232,601,2609,1,1,1,1,1,0,2552,-13940,-8644,-369,-272,59
H,1,450,706,1268,477,2599,1,1,1,1,1,0,2624,-13972,-8552,-593,-204,-20
H,1,443,655,1289,542,2589,1,1,1,1,1,0,2504,-13940,-8620,-618,-308,92
H,1,390,688,1201,574,2622,1,1,1,1,1,0,2464,-13600,-8572,-570,-459,282
H,1,497,752,1165,459,2666,1,1,1,1,1,0,2404,-13688,-8628,-310,-110,250
H,1,367,754,1281,511,2581,1,1,1,1,1,0,2320,-14240,-8924,-797,-520,453
H,1,397,751,1251,479,2603,1,1,1,1,1,0,2540,-14108,-8744,-813,-277,180
H,1,395,681,1201,417,2608,1,1,1,1,1,0,2388,-14132,-8756,-676,-162,-242
H,1,434,683,1222,511,2645,1,1,1,1,1,0,2388,-13664,-8812,-823,-791,5
H,1,289,738,1322,476,2550,1,1,1,1,1,0,2376,-13424,-8988,-916,-648,275
H,1,343,709,1327,492,2599,1,1,1,1,1,0,2236,-13968,-8724,-376,-332,9
H,1,387,688,1281,511,2603,1,1,1,1,1,0,2408,-14072,-8716,-437,-582,-94
H,1,443,677,1311,502,2593,1,1,1,1,1,0,2532,-13704,-8800,-811,-213,-27
H,1,527,662,1272,546,2591,1,1,1,1,1,0,2580,-13564,-8816,-674,-420,248
H,1,341,735,1255,352,2625,1,1,1,1,1,0,2420,-13820,-8880,-675,-159,250
H,1,438,710,1296,511,2608,1,1,1,1,1,0,2444,-14020,-8772,-363,-27,-70
H,1,425,693,1255,474,2603,1,1,1,1,1,0,2500,-13892,-8784,-450,-12,-88
H,1,350,694,1285,492,2559,1,1,1,1,1,0,2400,-13928,-8508,-434,-244,-40
H,1,339,682,1263,592,2615,1,1,1,1,1,0,2404,-13800,-8664,-338,-406,-34
H,1,486,592,1257,527,2611,1,1,1,1,1,0,2348,-13736,-8612,-538,-430,128
H,1,339,727,1318,523,2622,1,1,1,1,1,0,2256,-13928,-9100,-815,-440,316
H,1,401,725,1302,494,2559,1,1,1,1,1,0,2424,-13984,-8916,-342,-30,4
H,1,400,719,1226,500,2559,1,1,1,1,1,0,2548,-13824,-8788,-420,-99,71
H,1,432,783,1254,534,2544,1,1,1,1,1,0,2484,-13816,-8600,-421,-285,113
H,1,507,761,1181,437,2649,1,1,1,1,1,0,2464,-13816,-8656,-574,-230,97
H,1,378,693,1245,533,2559,1,1,1,1,1,0,2660,-13932,-8648,-469,-635,118
H,1,398,670,1309,488,2603,1,1,1,1,1,0,2680,-13800,-8888,-689,-757,155
H,1,393,656,1224,478,2606,1,1,1,1,1,0,2664,-13632,-8836,-133,-354,-226
H,1,486,643,1135,448,2649,1,1,1,1,1,0,2708,-13876,-8508,-41,-94,-400
H,1,287,740,1327,457,2598,1,1,1,1,1,0,2252,-14004,-8500,-532,-571,-23
H,1,393,657,1293,490,2607,1,1,1,1,1,0,2148,-14172,-8768,-678,-653,115
H,1,349,690,1296,490,2594,1,1,1,1,1,0,2128,-13888,-8892,-488,-581,-70
H,1,415,682,1299,455,2618,1,1,1,1,1,0,2188,-13836,-8592,-309,-490,143
H,1,247,815,1359,390,2595,1,1,1,1,1,0,2028,-13840,-8420,-513,-344,287
H,1,307,750,1327,509,2544,1,1,1,1,1,0,2260,-13800,-8636,-772,-292,417
H,1,433,702,1248,459,2631,1,1,1,1,1,0,2260,-13748,-8712,-399,-55,240
H,1,385,670,1258,493,2602,1,1,1,1,1,0,2544,-13748,-8784,-421,-152,464
H,1,331,751,1242,482,2559,1,1,1,1,1,0,2588,-13768,-8540,-434,-107,605
H,1,496,640,1353,495,2559,1,1,1,1,1,0,2408,-14344,-8664,-555,-361,635
H,1,464,529,1251,574,2605,1,1,1,1,1,0,2544,-14164,-8692,-470,-136,185
H,1,405,720,1293,528,2617,1,1,1,1,1,0,2488,-13920,-8564,-445,-203,39
H,1,368,698,1266,525,2624,1,1,1,1,1,0,2340,-13980,-8672,-707,-244,111
H,1,397,715,1264,653,2559,1,1,1,1,1,0,2104,-13804,-8652,-675,-600,144
H,1,301,817,1365,353,2509,1,1,1,1,1,0,2176,-13492,-8688,-202,-510,-90
H,1,456,752,1181,397,2642,1,1,1,1,1,0,2060,-13820,-8820,-293,-84,66
H,1,416,741,1289,463,2608,1,1,1,1,1,0,2104,-14024,-8728,-391,-114,218
H,1,469,703,1231,481,2625,1,1,1,1,1,0,2332,-14048,-8620,-382,-64,175
H,1,389,662,723,485,2640,1,1,1,1,1,0,2324,-14176,-8476,-387,-423,260
H,1,493,764,1341,441,2640,1,1,1,1,1,0,2280,-14132,-8748,-611,-205,132
H,1,626,768,1023,418,2695,1,1,1,1,1,0,2168,-13996,-8940,-655,-336,202
H,1,302,661,1242,461,2609,1,1,1,1,1,0,2216,-13952,-8844,-649,-69,200
H,1,392,709,1267,479,2602,1,1,1,1,1,0,2372,-13900,-8584,-649,-159,232
H,1,532,673,1246,479,2607,1,1,1,1,1,0,2272,-14056,-8612,-952,-100,359
H,1,393,710,1157,455,2608,1,1,1,1,1,0,2316,-13788,-8624,-566,-215,96
H,1,592,510,1205,610,2608,1,1,1,1,1,0,2284,-13660,-8828,-552,-243,193
H,1,445,735,1089,484,2608,1,1,1,1,1,0,2280,-13932,-8704,-372,-130,152
H,1,400,652,1239,529,2590,1,1,1,1,1,0,2172,-13924,-8580,-412,38,80
H,1,381,678,1208,454,2638,1,1,1,1,1,0,2232,-13848,-8432,-427,-135,110
H,1,351,702,1334,400,2623,1,1,1,1,1,0,2128,-14240,-8772,-596,-520,204
H,1,404,594,1293,581,2528,1,1,1,1,1,0,2136,-14008,-8948,-768,-304,100
H,1,413,733,1249,493,2608,1,1,1,1,1,0,1948,-13836,-8628,-452,-207,37
H,1,345,704,1263,496,2597,1,1,1,1,1,0,2148,-13860,-8612,-713,4,216
H,1,375,716,1238,496,2581,1,1,1,1,1,0,2412,-13896,-8520,-255,-108,20
H,1,471,608,1254,471,2638,1,1,1,1,1,0,2312,-14052,-8732,-293,-284,20
H,1,505,651,1120,475,2656,1,1,1,1,1,0,2344,-13620,-8428,-572,-357,110
H,1,383,689,1269,490,2608,1,1,1,1,1,0,2256,-13692,-8684,-643,-680,436
H,1,382,664,1223,543,2583,1,1,1,1,1,0,2248,-14144,-8736,-479,-382,273
H,1,419,715,1195,503,2620,1,1,1,1,1,0,2192,-13852,-8640,-544,-230,140
H,1,343,815,1110,422,2694,1,1,1,1,1,0,2252,-14000,-8548,-524,-539,246
H,1,267,869,1247,432,2608,1,1,1,1,1,0,2108,-13952,-8728,-712,-442,88
H,1,375,723,1288,496,2678,1,1,1,1,1,0,2084,-13948,-8792,-545,-333,118
H,1,449,691,1213,465,2615,1,1,1,1,1,0,2116,-13812,-8692,-558,-424,198
